gene_id,F1_1_1,F1_2_1,F1_3_1,F5_1_1,F5_2_1,F5_3_1,anno_chr,anno_start,anno_end
cops3,2231,2208,2359,2358,1630,2109,chr12,1455063,1468172
pla2g12a,68,32,125,40,60,40,chr1,12061296,12064745
rps6kb1b,315,307,351,304,369,185,chr15|chr15_KZ115481v1_alt,17407002|13201,17424264|30463
cops6,507,412,639,404,152,244,chrUn_KN149926v1,2358,3524
cops4,2288,1815,2231,1674,1053,1357,chr10,11355884,11367991
cops5,1543,1354,1321,1158,1139,650,chr24,23716970,23725371
mpv17l2,16,6,26,14,2,10,chr2_KZ115041v1_alt|chr2,182410|24770461,190861|24778912
ctbp2l,160,791,332,261,76,77,chr12,48744016,48764694
dctn2,5309,2834,6123,2414,2435,1467,chr6,58832204,58867662
rpgrip1l,549,514,431,370,292,368,chr25,36045072,36081733
ctbp2a,3514,3103,4407,3801,1555,3503,chr17,8596943,8692722
dctn4,3962,2292,6185,3664,1311,2237,chr14,49462855,49490736
dctn5,959,879,940,919,327,683,chr3,35550870,35554801
wdr6,5601,6099,4947,3105,2496,2796,chr8,26230071,26240488
zgc:163143,245,314,293,225,124,96,chr3,34601856,34613101
wdr4,270,234,376,261,86,264,chr9,19477198,19489264
wwp2,1877,1369,2523,1333,792,711,chr25,34749223,34804029
wdr1,5166,7395,5564,6179,5254,3393,chr14,164434,187551
rgs12b,993,961,1703,681,498,323,chr1,41201586,41287914
si:ch211-113g11.6,114,89,133,68,37,90,chr16,29414355,29452039
stxbp6l,855,863,680,905,519,498,chr20_KZ114968v1_alt|chr20,95061|9828967,114387|9848293
olfcw1,0,0,0,0,0,0,chr18|chr18_KZ115569v1_alt,32135370|181102,32139894|185628
si:dkeyp-120h9.1,10,8,4,4,0,0,chr19,31743105,31765615
ftr67,1992,1510,1991,1640,955,845,chr2,51065777,51087092
atp5meb,668,107,106,76,79,58,chr5_KZ114859v1_alt,165806,169809
atp5mea,5444,5867,5266,4299,3640,3651,chr21,20377890,20381467
ftr64,870,996,914,729,407,464,chr4,71974711,71983522
zgc:136538,0,0,0,0,0,0,chr5,61645156,61652253
dync2li1,6,0,0,0,72,2,chr13_KZ115406v1_alt|chr13,98945|10970613,110036|10981704
ufd1l,2971,3172,3263,2499,1743,2386,chr8,4761271,4776395
shda,19,5,72,16,0,0,chr2,52065884,52093505
tp63,84,27,138,158,33,45,chr6_KZ115183v1_alt|chr6,225978|28877306,261868|28914225
jmy,137,97,201,46,13,16,chr21,15116,37192
dpcd,269,233,172,241,0,218,chr1,31654203,31657854
fn1b,402,203,367,582,20,111,chr1,5504137,5543042
fn1a,178,75,80,137,71,31,chr9,15362301,15424686
mks1,245,80,276,414,178,162,chr5,56090828,56119029
ldlrad3,282,453,528,297,89,56,chr25,37325054,37331356
rps8a,37511,30538,38303,46857,32171,30109,chr2,26498531,26501644
rps8b,1333,672,989,743,240,418,chr8,18193708,18199468
ndrg2,859,1026,733,573,348,1049,chr7,3936326,4036184
cpm,64,12,90,104,19,28,chr4_KZ114857v1_alt,94020,110720
ndrg4,32640,32955,38461,38453,18829,33254,chr25,13332281,13363286
car15,5,0,9,0,16,4,chr10|chr10_KZ115335v1_alt,42026942|175673,42039169|187935
sfrp2,28,9,26,2,0,0,chr1,25489376,25496133
psmc1b,4365,4163,4323,3229,3334,2654,chr20,16721942,16740955
bub3,1834,2339,1900,1814,1414,1231,chr12,49146715,49149800
sfrp5,274,171,177,200,216,175,chr13,39911551,39947335
irf2a,176,182,187,176,79,171,chr1,39865650,39880260
zgc:101130,268,188,201,120,32,56,chr22,1421212,1424482
xiap,283,347,391,226,168,103,chr14_KZ115448v1_alt|chr14,19363|28473173,29520|28483330
zgc:66427,884,180,259,258,390,117,chr2_KZ115042v1_alt|chr2,51060|37866880,58819|37874647
epdl1,124,95,82,157,241,250,chr7,1045637,1057237
snapc3,137,149,116,123,116,122,chr1,28067795,28089624
homer3b,141,16,130,88,76,109,chr11,13424238,13505654
stxbp3,1139,436,229,250,366,130,chr23,1661757,1698431
ptpn23a,4739,6455,5894,4599,2121,2161,chr16,41112346,41131578
ube2g2,1062,946,1221,516,488,424,chr6,8598485,8609391
snapc5,3023,2361,2491,1621,875,1813,chr18,19487308,19491080
stxbp6,44,7,88,0,0,0,chr17,50798484,50841283
bcl11aa,890,1163,1178,807,1076,907,chr13,25853207,25925224
bms1,141,354,293,233,248,272,chr12|chr12_KZ115386v1_alt,29240119|315985,29271034|346900
palm2akap2,408,179,456,423,191,121,chr10,4718162,4918620
nppb,3,0,0,0,0,0,chr8,48609520,48610544
nppc,119,109,40,226,124,95,chr22,38614887,38621438
nppa,20,0,0,9,0,0,chr8,48613033,48617665
lim2.3,0,0,0,6,0,0,chr15,19652825,19659578
pdyn,1257,413,807,336,581,185,chr23,41800052,41801966
supt7l,152,65,152,115,29,16,chr17,40860032,40879108
actn2b,24,0,18,48,8,0,chr17_KZ115518v1_alt|chr17,98616|20122019,119218|20143916
snx8a,28,0,0,44,0,8,chr3,42090418,42120172
rrbp1b,208,263,212,176,176,189,chr22,25086921,25109867
rrbp1a,1662,1313,1491,832,514,635,chr13,33611707,33639050
ccnb3,36,30,104,0,17,56,chr7,22981962,23004700
ccnb2,40,13,46,66,12,77,chr7,30626498,30631116
ccnb1,61,52,120,56,0,135,chr5,54711393,54714749
txlng,151,28,172,45,8,0,chr11,12784959,12802123
znf1069,0,0,4,0,0,2,chr4,57351782,67054802
txlna,651,648,900,585,307,260,chr19,29836459,29853390
zgc:165520,13,25,10,0,0,0,chr1,44826320,44835738
dpf1,292,502,270,272,360,292,chr15,14257232,14375571
gcga,16,0,44,4,0,2,chr22,11617520,11626018
borcs7,59,101,59,52,44,43,chr13,28612313,28615888
ubl3b,988,672,1100,714,162,297,chr14,30855974,30876299
borcs5,289,147,326,193,136,181,chr25,17920852,17924763
borcs8,100,94,105,112,0,30,chr22,18166660,18175060
zgc:77614,0,0,0,0,0,0,chr8_KZ115273v1_alt|chr8,23897|34434385,206168|35000294
bsnd,0,0,0,0,0,0,chr20,7243879,7251773
prkcdb,41,20,36,26,0,18,chr11|chr11_KZ115351v1_alt,18345066|260247,18384473|299654
prkcda,1723,1286,2122,1313,635,1667,chr6,40523370,40544204
si:ch73-42k18.1,2,0,4,15,8,9,chr5,10232188,10239079
cep68,106,156,184,64,100,80,chr13,24421515,24429095
cep63,127,485,350,347,96,124,chr6,27896657,27925470
eif4ba,1259,1242,1716,1019,778,770,chr23,10396888,10449456
npepl1,2030,1852,2200,2010,1454,1235,chr6,49742261,49760400
tada1,1086,1046,2000,674,638,637,chr2,104983,109346
cherp,3196,3159,3183,2497,2027,1850,chr22,4962370,4989910
diras1b,8,20,44,0,0,0,chr2,37059304,37059966
sult3st2,0,0,0,0,0,0,chr22_KZ115635v1_alt|chr22,18431|15336752,23844|15342165
sult3st3,0,0,0,0,0,0,chr22,15315655,15318280
pdcd10a,524,475,1401,1037,331,593,chr18,5087622,5111449
sult3st4,0,0,0,0,0,0,chr22_KZ115635v1_alt|chr22,12990|15331311,18071|15336392
pdcd10b,732,468,570,520,164,581,chr2,36721459,36731963
smim13,2162,1818,1964,1614,1284,1202,chr19,3717982,3726768
smim12,947,636,777,671,511,447,chr19,37135675,37139452
gnpnat1,147,135,321,94,50,50,chr17,15216030,15219940
smim15,463,219,472,937,327,481,chr8,16726379,16730366
smim14,43,52,37,21,26,7,chr1|chr1_KZ115018v1_alt,23297623|33093,23308233|43703
c3b.2,172,46,196,14,29,19,chr22,26129245,26175237
smim19,752,336,321,429,102,343,chr14,21238672,21242245
urm1,320,394,397,324,239,319,chr10|chr10_KZ115309v1_alt,10313024|41354,10326027|54357
pick1,149,102,265,109,25,17,chr3,3610140,3634851
si:ch73-41e3.7,0,17,46,15,45,5,chr1,518853,524433
tex47,7,20,6,14,12,0,chr12,48542998,48552716
zgc:171534,0,0,0,0,0,0,chr13,330609,337318
hoxa13b,0,0,10,0,0,0,chr16,20895904,20897833
stk35l,2379,1490,1882,1146,944,875,chr6,38845697,38858995
cfbl,20,0,22,20,0,0,chr21_KZ115630v1_alt|chr21,101202|27448869,113504|27461126
rab9a,59,292,1247,156,24,150,chr9,54686685,54704498
uox,0,0,0,0,0,0,chr11,8160894,8167856
or134-1,0,0,0,0,0,0,chr6,52859511,52860458
klf9,200,85,204,60,16,40,chr5,26075287,26078122
mboat1,155,77,267,165,0,65,chr16,6395947,6424816
zgc:194665,2091,2570,2445,1683,865,1343,chr25,19999623,20003528
mboat7,453,248,410,321,250,187,chr16,32014616,32025784
mboat4,0,0,0,0,0,0,chr5,66157117,66160415
inab,185,69,177,35,108,167,chr1,31864468,31867717
inaa,594,558,506,330,343,339,chr13,28675686,28681036
fam204a,996,392,757,421,273,319,chr13_KZ115415v1_alt|chr13,108576|19766896,141502|19799776
proca,13,0,0,0,45,0,chr2,5457334,5475921
igf2bp1,76,18,80,34,9,60,chr3,23518661,23575115
slc25a38b,278,125,196,151,56,23,chr6,7723318,7735030
slc25a38a,139,44,95,160,64,123,chr3,4644029,4663602
cept1a,93,46,195,92,0,37,chr8,12951155,12969237
mipol1,112,92,60,20,56,8,chr17,10325623,10498322
cept1b,157,389,513,240,14,138,chr22,869600,881725
tpk2,579,724,740,641,316,272,chr8,14158034,14170755
fbxl3b,429,429,392,514,161,168,chr6,59935102,59944310
fbxl3a,1706,1453,1747,1254,1021,932,chr9_KZ115282v1_alt|chr9,40329|16863650,54261|16877582
zgc:55781,575,429,442,472,286,310,chr2,21620185,21625486
gmfb,1959,1359,1965,1308,683,987,chr13,36585547,36593618
adipoqb,0,4,16,0,0,4,chr2,4490615,4496355
rrm2b,112,110,187,234,72,132,chr19_KZ115593v1_alt|chr19,54781|32918131,65120|32928470
clta,1607,1621,1844,1444,832,902,chr1|chr1_KZ115001v1_alt,12348259|5956,12361930|19627
lhfpl6,392,608,536,540,327,339,chr10,31951338,32038260
cftr,6,0,12,18,16,4,chr18,20677184,20722548
lhfpl3,2135,1524,2468,1438,1155,977,chr4,22365653,22419736
mlycd,23,20,52,23,0,0,chr18|chr18_KZ115551v1_alt,14233549|451280,14274801|492446
ptmab,24796,21523,23478,19430,11995,14655,chr2,5131972,5135125
ptmaa,902,1704,2537,1318,590,816,chr6|chr6_KZ115761v1_alt|chr6_KZ115185v1_alt,29791197|304379|74632,29795027|308209|78462
zgc:165518,54,110,88,28,0,32,chr3,66843,79366
grap2a,148,276,319,218,80,99,chr3,29445473,29468856
grap2b,9,0,67,150,0,23,chr6,427317,442276
paplnb,8,53,40,16,0,44,chr20,33499379,33512423
zgc:165514,0,0,0,0,0,0,chr15,44184479,44189034
avpr1aa,0,0,0,4,0,0,chr25,1550220,1558366
avpr1ab,8,0,16,0,0,0,chr4,9210711,9213418
kmt5aa,2291,1936,2164,1848,1306,1155,chr10,44363180,44372381
kmt5ab,88,21,316,426,99,472,chr5,69785990,69793796
ttll6,30,33,26,10,0,10,chr12|chr12_KZ115384v1_alt,27099952|4068,27114836|18952
LOC101884305,5,0,1,4,0,0,chr4,71735828,71749716
ptger1b,0,0,29,24,0,13,chr3,13830599,13837063
fam53b,912,586,721,2192,402,493,chr12,46883785,46937954
zgc:162396,223,231,290,262,58,144,chr9,28688918,28691970
kcnc3b,347,236,235,138,104,64,chr24,37080771,37170289
lrrk2,1378,2541,5006,1841,959,503,chr25,35603107,35664817
klf12b,71,59,112,54,8,39,chr9,30720048,30783892
hnrnpr,4379,5897,5453,5025,2627,3518,chr19,74326,82497
klf12a,73,18,122,118,17,22,chr1|chr1_KZ115033v1_alt,34497003|108725,34556718|163840
sms,4972,4156,4838,3361,1825,2865,chr21,25399162,25416391
smo,177,222,170,154,136,128,chr4,14971496,14977525
ralgps2,113,73,123,70,29,32,chr20,15947209,16156419
hnrnpk,5451,4917,7103,5189,2398,2657,chr8,49745668,49766241
hnrnpl,1611,2608,7802,465,68,113,chr5_KZ115132v1_alt|chr5,141172|36900157,156962|36911903
ttc9c,358,462,394,384,301,256,chr14,45350093,45363735
oxct1b,26,0,55,25,0,55,chr21,20771115,20785883
hnrnpc,319,285,360,234,248,366,chr2_KZ115043v1_alt|chr2,68126|38025260,77058|38034192
hnrnpd,2084,2576,2299,3865,1674,2217,chr10,5000623,5016997
im:7152348,92,92,52,56,59,24,chr6,27884372,27891982
mhc1lda,0,0,0,0,0,0,chr25,10954770,10961324
frem1b,340,602,847,515,363,401,chr22,17120650,17191400
frem1a,78,56,159,96,44,40,chr7,69653981,69728399
ralgps1,408,298,552,354,83,263,chr8,32914636,33114202
csf3a,15,0,32,0,0,0,chr12,10631266,10637172
col17a1a,20,0,0,14,75,6,chr1,49568335,49605854
sdc2,158,95,113,107,102,39,chr19,47191404,47276297
sdc4,91,88,109,200,36,32,chr6,52664330,52675501
cttnbp2nlb,20,10,12,10,2,15,chr8_KZ114898v1_alt|chr8,11711|27823016,47153|27858458
hsbp1l1,0,0,0,0,9,10,chr19,11429263,11431278
nkd2a,0,33,11,0,0,4,chr16,52999870,53054838
nkd2b,0,0,0,0,0,0,chr16,52999980,53054838
isy1,431,439,547,295,205,196,chr11,474434,486532
mcm10,34,71,58,48,0,74,chr4,7851277,7869731
rarres3l,562,368,354,426,239,255,chr14,45565911,45571764
crygm6,0,0,0,0,0,0,chr9|chr9_KZ114903v1_alt,22000814|369813,22001775|370774
baxb,22,27,24,53,0,28,chr3,32074794,32079714
baxa,1172,894,1344,1084,386,509,chr3,37776493,37785837
kctd6b,510,482,732,506,426,578,chr23,19670113,19673767
kctd6a,104,41,83,24,0,30,chr22,10215558,10219216
cd59,10012,4973,5685,10135,2119,3690,chr7,38695724,38698613
chd4a,7358,9156,7380,7207,7302,8083,chr19,5000885,5058908
pi4kab,414,451,854,483,240,216,chr8,1741936,1838315
pi4kaa,1230,367,987,398,169,266,chr10,3187289,3258073
mybl2a,361,288,512,559,200,251,chr23,4348265,4357768
nox1,0,13,4,12,24,0,chr14,41345209,41360478
sdr42e1,45,0,40,76,0,31,chr18,501116,506098
mybl2b,29,25,73,17,0,0,chr11,1551663,1574656
si:ch73-59f11.3,158,105,44,48,48,0,chr3,6600294,6608342
rsph14,10,20,24,0,28,0,chr8,44566703,44586984
chrnb1l,0,0,0,0,0,0,chr7,22586800,22607255
zgc:112980,8,9,0,2,0,466,chr1|chr1_KZ114997v1_alt,8539910|4394,8553291|17775
zgc:112982,9668,12569,9171,7241,3659,2655,chr24,24101812,24111473
fabp6,0,0,4,0,0,12,chr21,30043037,30047355
fabp2,16,6,4,18,12,11,chr1_KZ115021v1_alt|chr1,453379|25848636,456273|25851530
fabp3,13976,11548,12557,9332,6001,7658,chr19,42983620,42993278
colec10,32,20,0,35,0,32,chr16,9680908,9694822
trpc7a,6,24,24,4,0,24,chr10|chr10_KZ115318v1_alt,21395288|258075,21429039|291826
aadacl4,52,40,65,39,0,43,chr11,28617564,28619799
wasb,308,203,374,1046,163,408,chr8,23560183,23578660
LOC565422,0,0,0,0,0,0,chr7,56677017,56680454
ncor2,7426,7196,8938,5095,2834,3139,chr8,43379436,43574935
ncor1,378,2857,2935,1773,812,1325,chr5_KZ115140v1_alt|chr5,113020|41878252,231765|41996511
or111-2,0,0,0,0,0,0,chr15,31356198,31357497
or111-3,0,0,0,0,0,0,chr15,31364709,31366742
eomesb,785,265,791,326,235,113,chr16,55168245,55182394
or111-6,0,0,0,0,0,0,chr15,31389754,31390731
or111-7,0,0,0,0,0,0,chr15,31399923,31401361
or111-4,0,0,0,0,0,0,chr15,31371234,31372214
pkma,24498,23634,27426,26753,8986,21952,chr18,911051,951570
il10,0,0,0,0,0,0,chr11,21138038,21139481
or111-8,0,0,0,0,0,0,chr15,31405059,31406093
or111-9,0,0,0,0,0,0,chr15,31407840,31408784
il15,132,291,167,243,84,133,chr1,53234694,53259746
ppp2r5eb,817,404,723,491,276,295,chr13,37422476,37465524
kcns3a,23,0,30,8,0,12,chr13,32575777,32577386
kcns3b,20,60,52,24,0,20,chr20,14114258,14118296
ppp2r5ea,1323,1104,1228,838,375,584,chr20,20231639,20270173
pcdh1g32,60,4,42,14,10,24,chr10,21807497,21820060
pcdh1g33,186,720,541,180,121,617,chr10_KZ115319v1_alt|chr10,50757|21783213,87597|21820060
pcdh1g30,434,581,120,177,0,208,chr10_KZ115319v1_alt|chr10,68574|21801030,87597|21820060
atxn1a,63,87,241,80,78,92,chr19,32456974,32461596
pdzd7a,39,27,9,0,31,2,chr13_KZ115414v1_alt|chr13,20320|18701806,108844|18783673
ush1c,8,0,16,14,0,2,chr25|chr25_KZ115740v1_alt,22643954|474186,22704233|534465
tprkb,57,30,15,55,36,27,chr4,28371733,28373909
asap3,471,536,1432,360,279,289,chr17,27190220,27235826
lcmt1,850,507,428,734,510,906,chr12,20378376,20409750
lcmt2,82,61,151,59,5,40,chr9,27720470,27733543
pdlim3a,17,0,40,28,0,3,chr1,17721853,17735863
pdlim3b,23,0,8,23,0,12,chr14_KZ115450v1_alt,124443,140705
nuggc.2,0,0,0,0,0,0,chr19,7878122,7886461
zgc:193811,26,1236,76,388,156,415,chr3,31945590,31951293
zgc:193812,958,1182,1029,747,628,609,chr25,19485327,19486411
ppp1r7,3953,3057,3539,2881,1379,2546,chr2,16696059,16707806
e4f1,2173,2350,2667,1743,1359,1059,chr3,18714129,18737126
bspry,0,29,24,27,0,8,chr5,54400923,54415844
dicp3.3,0,0,0,23,0,0,chr16,21808418,21810668
si:dkey-172h23.2,0,0,0,0,0,0,chr7,15214927,15252441
dicp3.1,3,0,5,0,0,0,chr16,21881694,21888047
hacd1,32,20,37,46,0,0,chr7,59021015,59031039
aqp7,8,24,4,0,0,0,chr21,12010579,12020299
aqp4,0,0,0,0,0,0,chr20,18163368,18190005
gsg1l,1551,600,1257,1999,133,413,chr3,28718817,28750496
si:dkey-206d17.12,41,8,24,28,0,0,chr19,3803437,3821678
ptpn13,3941,4516,6215,3366,2471,2307,chr21,9387264,9562272
hhla2a.1,30,0,15,52,0,0,chr10,35417099,35437620
