"gene_id","F1_1_1","F1_2_1","F1_3_1","F4_2_1","F4_3","F4_6_1","F5_1_1","F5_2_1","F5_3_1","M1_1","M1_4_1","M1_7","M4_12","M4_6_1","M4_9","anno_chr","anno_start","anno_end"
"ciz1a",212,55,193,128,176,263,108,53,41,305,215,327,313,228,520,"chr5","1239658","1274794"
"ciz1b",334,261,417,290,422,1039,591,128,568,312,434,401,630,135,369,"chr5","63648165","63663771"
"zgc:85722",4574,6763,7576,16332,13184,21062,5739,4673,4592,10792,14986,11681,18158,14231,25013,"chr17","15309438","15382673"
"bcl2l1",1239,668,1673,986,921,1471,1186,266,508,4651,3475,3008,1648,911,2295,"chr23","18953870","18981524"
"tnnt1",414,998,842,686,858,935,683,262,1764,1700,567,1531,2370,667,483,"chr3","32157260","32170850"
"fign",12,46,24,40,13,27,8,57,8,141,62,62,165,8,148,"chr9","50599362","50752283"
"gcgb",24,0,8,12,26,0,4,44,0,20,4,20,0,36,20,"chr9","51265283","51271596"
"sostdc1a",28,20,32,0,24,60,48,0,13,48,13,54,0,0,0,"chr15","34562194","34567365"
"phf20b",530,550,645,976,1110,998,481,374,454,1393,1262,1246,724,788,661,"chr23_KZ114984v1_alt|chr23|chr23_KZ115674v1_alt","21342|14992800|21342","65301|15036759|65301"
"cbfa2t2",978,302,1529,1630,980,2468,645,170,237,3024,3760,2922,2638,1358,2378,"chr6","57634378","57655030"
"sctr",4,12,0,16,0,0,0,0,0,17,17,10,0,0,0,"chr9","925928","950228"
"cnnm2a",139,90,224,60,228,56,72,17,64,1021,861,745,201,135,369,"chr13","28618086","28643260"
"igfbp1a",179,125,261,484,286,537,247,109,68,973,1152,587,629,398,779,"chr20","6808774","6812616"
"pycr3",9,27,38,84,31,48,12,36,9,147,49,36,0,25,168,"chr20","52529093","52541512"
"pycr1",47,16,35,0,50,0,0,0,0,155,59,141,0,98,0,"chr3","57997977","58004852"
"b3gnt3.4",229,12,151,46,43,5,262,153,68,272,30,209,0,176,176,"chr8","13630058","13641022"
"b3gnt3.3",0,0,3,0,0,0,34,0,0,0,0,19,0,0,0,"chr8","13597405","13600274"
"b3gnt3.2",0,0,0,0,0,0,0,17,0,0,12,16,0,0,0,"chr8","13572531","13574764"
"b3gnt3.1",21,0,0,0,4,0,0,8,0,0,0,0,0,23,0,"chr8","13534465","13541487"
"taar12e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","187823|46060635|44804","188838|46061650|45819"
"ap1m2",178,214,96,526,384,2105,165,103,179,260,247,68,786,630,546,"chr6","112694","119859"
"ap1m3",0,0,0,0,6,0,8,0,0,28,43,13,0,0,0,"chr6_KZ115192v1_alt","1645","36993"
"paf1",631,413,616,968,934,1026,331,285,149,1214,1266,1428,1191,793,1402,"chr15","47616810","47625134"
"ap1m1",1215,794,1468,781,1284,1276,854,742,592,5463,3817,3013,548,809,1121,"chr2","55429988","55492315"
"neurl2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr12_KZ115372v1_alt","491324","493566"
"ubxn1",1262,1467,1217,4163,2151,4972,835,1015,764,1915,2301,2116,2240,2400,3338,"chr14","45471736","45482605"
"crbn",1490,891,2267,2414,2138,2413,890,640,617,3049,4090,2476,1488,1121,2589,"chr6","40456798","40466827"
"mtfr1l",64,19,90,92,68,157,14,10,5,194,245,180,84,49,60,"chr17_KZ115527v1_alt|chr17","280282|24718272","287757|24725747"
"acin1b",13973,16035,18014,39705,26612,39190,11963,7032,7410,22871,25521,21076,30657,22926,37431,"chr7","24069420","24096259"
"fam20a",0,26,40,145,76,116,40,0,20,51,65,45,0,40,187,"chr12","2906610","2940070"
"zgc:158296",12,0,12,0,0,0,16,0,0,0,0,0,0,0,0,"chr23","18603187","18609433"
"tnfsf10l3",24,67,32,97,57,212,122,0,40,58,87,104,207,49,152,"chr21","30701902","30714555"
"s100a1",23,88,7,0,0,0,8,0,26,31,35,20,0,0,0,"chr16","29385561","29387215"
"tnfsf10l4",34,0,4,0,0,13,8,0,0,9,12,0,0,0,0,"chr5","22579974","22583539"
"zgc:158291",128,72,147,199,253,336,70,91,95,432,439,317,255,174,353,"chr21_KZ115634v1_alt|chr21","119775|38312575","122441|38315241"
"ghrh",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,"chr11_KZ115345v1_alt|chr11","71461|15345658","171805|15435495"
"nemp1",314,216,346,459,226,481,253,73,281,322,326,201,186,244,443,"chr23","31942044","31953901"
"znf131",749,937,955,2311,1626,3352,831,570,526,1052,1469,1157,1498,1466,1519,"chr8_KZ115270v1_alt|chr8","163484|31406731","173893|31417139"
"ghrl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr6","40438018","40439501"
"ghrb",140,120,52,225,68,92,94,57,13,197,127,150,0,84,287,"chr21","20744286","20765338"
"ghra",13,16,41,67,62,0,58,42,23,49,11,34,0,56,32,"chr8_KZ115270v1_alt","217696","300836"
"rras2",59,0,37,71,36,83,44,7,21,165,172,182,0,12,47,"chr7|chr7_KZ115229v1_alt","27834130|53497","27884724|103378"
"si:dkey-153k10.9",266,146,298,236,287,296,144,162,147,843,352,261,78,111,73,"chr4|chr4_KZ114855v1_alt|chr4_KZ115087v1_alt","9669717|93679|225547","9690419|114381|246246"
"her9",335,385,334,1088,554,1025,318,247,262,429,701,468,547,573,1201,"chr23_KZ115685v1_alt|chr23","332065|23399519","333809|23401263"
"ate1",350,231,417,884,584,798,216,125,198,1045,950,843,682,1064,1452,"chr13","46520778","46713261"
"her3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr8","46641315","46642558"
"her2",18,64,24,20,44,0,0,0,12,35,16,37,0,56,0,"chr11","41966117","41966854"
"her1",0,4,0,60,20,0,0,0,0,19,60,4,0,0,0,"chr5","68788658","68795049"
"uchl1",4254,3552,4506,7139,8737,5948,3662,1424,2287,8204,8970,7132,2033,3154,4683,"chr1","22647756","22652024"
"her6",622,524,637,1940,1741,2091,811,613,422,778,918,819,1222,1417,2347,"chr6_KZ115194v1_alt|chr6","193860|36551085","195543|36552768"
"fech",86,23,85,108,83,69,31,4,10,249,359,271,188,170,67,"chr21","1648019","1670264"
"hnrnpdl",6493,9876,4491,8835,5131,14003,5041,1649,3036,7489,11412,14243,16375,8873,9804,"chr10","5017216","5024520"
"trim35-7",0,0,4,0,12,0,10,0,12,0,0,0,0,0,0,"chr3","5420406","5433392"
"tent5ab",40,61,40,33,28,0,29,60,9,159,116,95,0,112,21,"chr23","40275400","40283075"
"lamc1",267,90,395,561,643,393,235,16,40,998,1036,732,168,208,975,"chr2","35880600","35979095"
"si:ch73-335d12.2",4,3,0,0,0,0,0,0,0,0,5,0,0,0,0,"chr7","3783875","3792775"
"anxa3b",28,8,38,25,14,21,65,47,2,32,16,4,55,21,22,"chr10_KZ115307v1_alt|chr10","35016|9247593","57156|9269733"
"zgc:152938",204,179,231,360,428,284,253,154,321,623,571,492,250,456,339,"chr4","73051901","73064994"
"gcdhb",215,454,859,661,1481,1725,513,286,304,1551,1893,853,3538,2924,2517,"chr3","13941012","13955879"
"mogs",966,603,1031,1222,1144,1267,519,382,532,1833,1323,1708,831,1058,1268,"chr1","41609687","41617106"
"zgc:110852",22,9,0,7,40,0,0,0,0,128,145,152,0,0,48,"chr24","402493","495029"
"trim35-9",0,0,0,0,12,0,0,4,0,4,0,0,0,0,0,"chr3","8256231","8285123"
"slc23a1",259,44,316,385,448,464,219,120,102,263,288,154,456,464,36,"chr21","30091417","30111134"
"lhb",5,28,0,0,0,0,0,0,0,20,0,8,0,0,0,"chr13","2523066","2526033"
"tmem214",1967,2455,2293,4835,4053,7000,1961,1277,1301,4580,4081,4021,3427,4152,5702,"chr4","764100","779592"
"stap2b",265,296,21,518,0,0,293,0,0,17,0,0,0,71,0,"chr8","18650411","18667693"
"ch25hl1.1",3,6,2,33,6,19,23,0,7,6,0,0,0,24,3,"chr18|chr18_KZ115567v1_alt|chr18_KZ114967v1_alt","26853892|39192|378026","26858973|44273|383107"
"ch25hl1.2",60,10,34,80,105,18,20,0,3,273,289,176,100,96,89,"chr18|chr18_KZ115567v1_alt|chr18_KZ114967v1_alt","26895994|81268|420128","26896826|82100|420960"
"stap2a",348,363,501,734,831,1052,324,132,145,1072,1211,816,246,621,1473,"chr2","49522178","49569304"
"mlsl",81,76,207,0,99,87,87,70,66,184,372,191,0,0,156,"chr14","46157355","46173265"
"cnep1r1",279,163,229,288,324,221,79,260,134,483,457,373,363,0,567,"chr7","38260466","38264380"
"stt3b",2973,2251,3590,3637,3930,5571,2106,1023,1353,9533,8843,7605,2613,2232,5315,"chr16","39385483","39477790"
"zgc:56525",2134,1525,2194,2376,2980,2477,1460,888,1135,3893,4244,3040,2429,1375,2439,"chr8","49092017","49112036"
"pcxb",0,0,5,40,0,0,0,24,0,4,37,20,0,0,48,"chr7","60457138","60831082"
"pcxa",1089,758,1104,1904,1886,1959,670,380,388,5269,5511,4178,2441,1202,3413,"chr21","26733345","26966059"
"usb1",167,101,121,166,145,95,65,96,95,202,181,183,0,80,116,"chr25","13677346","13686751"
"sh3d19",0,0,0,44,9,0,16,0,0,0,0,0,0,0,0,"chr1|chr1_KZ115019v1_alt","24394173|267629","24462691|336102"
"myhz2",225,299,234,507,777,1262,269,96,224,234,657,326,459,828,662,"chr5","32206523","32217577"
"tgm2b",292,230,430,472,734,2589,972,191,351,708,428,275,650,434,784,"chr6","2093390","2121803"
"tgm2a",12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,"chr23","43255374","43272125"
"atxn10",258,143,292,323,234,332,183,105,139,486,445,381,417,212,558,"chr4","18720785","18741990"
"entpd2a.1",89,7,65,0,27,172,9,0,0,148,122,83,0,39,72,"chr5","29571801","29587438"
"arpc4",719,469,748,563,999,743,723,352,449,1398,1508,1245,196,518,912,"chr6","40762429","40768654"
"fhdc3",11,0,14,0,0,0,12,0,7,13,1,6,0,18,26,"chr10|chr10_KZ115323v1_alt","26190807|35997","26202538|47728"
"nfe2l2b",0,8,12,0,6,0,0,0,0,68,60,60,0,0,0,"chr6","10890081","10902853"
"nfe2l2a",171,212,464,283,540,960,138,130,122,860,900,763,116,343,817,"chr9","1654399","1680941"
"grik5",2532,1439,1586,7035,2964,6867,1828,1319,1670,4647,3937,4097,3338,3904,3950,"chr16","11483811","11555934"
"adora1b",142,17,166,212,141,79,89,66,40,439,658,417,164,46,226,"chr8","24122498","24135171"
"slc27a1a",472,792,386,318,403,657,796,52,1036,1784,1617,648,0,78,2862,"chr3|chr3_KZ114854v1_alt","52545014|126885","52603683|194874"
"decr2",100,98,111,232,106,246,133,154,38,252,240,169,0,0,164,"chr24","37709215","37721712"
"decr1",558,376,318,624,409,591,702,298,391,1100,719,1114,561,783,387,"chr16","36748561","36760156"
"arntl2",15,7,17,75,54,29,21,12,7,18,27,27,22,59,40,"chr18|chr18_KZ114961v1_alt|chr18_KZ115552v1_alt","15570910|112827|412000","15610484|152401|451574"
"fn3krp",79,78,213,129,107,153,77,0,47,533,405,431,175,57,295,"chr3","48221361","48229680"
"ccl34a.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr2","40194452","40196547"
"cops8",62,93,34,83,86,58,33,72,54,67,67,82,0,32,45,"chr9|chr9_KZ115290v1_alt","23895743|14903","23906206|25366"
"cops9",1633,1283,1934,797,2635,1148,1712,543,1344,2760,2593,2345,158,944,876,"chr24","26284494","26302419"
"dbh",84,129,92,379,125,363,65,104,78,95,168,74,101,215,109,"chr10","10564447","10607118"
"ccl34a.4",0,0,0,0,0,0,14,56,0,9,0,0,0,0,0,"chr2","40199002","40199780"
"grsf1",999,604,1107,1001,989,1466,671,227,480,838,1222,1211,616,388,975,"chr5","42943973","42950800"
"cops3",2231,2208,2359,2406,2113,2380,2358,1630,2109,2349,1837,1828,2075,1826,2490,"chr12","1455063","1468172"
"pla2g12a",68,32,125,60,155,175,40,60,40,249,229,271,0,123,288,"chr1","12061296","12064745"
"rps6kb1b",315,307,351,983,435,760,304,369,185,275,530,278,517,360,633,"chr15|chr15_KZ115481v1_alt","17407002|13201","17424264|30463"
"cops6",507,412,639,601,807,983,404,152,244,1052,1153,874,1017,481,905,"chrUn_KN149926v1","2358","3524"
"cops4",2288,1815,2231,3309,3019,2373,1674,1053,1357,3627,3570,3386,1307,1630,2626,"chr10","11355884","11367991"
"cops5",1543,1354,1321,1868,1673,1573,1158,1139,650,2491,2363,1932,760,908,1370,"chr24","23716970","23725371"
"mpv17l2",16,6,26,23,20,2,14,2,10,74,64,38,0,38,187,"chr2_KZ115041v1_alt|chr2","182410|24770461","190861|24778912"
"ctbp2l",160,791,332,761,1033,644,261,76,77,344,789,196,717,536,711,"chr12","48744016","48764694"
"dctn2",5309,2834,6123,7073,8596,9114,2414,2435,1467,6282,7471,8875,6305,10110,8965,"chr6","58832204","58867662"
"rpgrip1l",549,514,431,977,382,3289,370,292,368,885,1900,704,689,885,1289,"chr25","36045072","36081733"
"ctbp2a",3514,3103,4407,5864,7674,5190,3801,1555,3503,8483,9752,8016,6368,3198,10421,"chr17","8596943","8692722"
"dctn4",3962,2292,6185,3906,5501,7234,3664,1311,2237,12239,12779,10033,5990,2894,7880,"chr14","49462855","49490736"
"dctn5",959,879,940,1207,1128,1775,919,327,683,2265,2068,1487,1163,659,1487,"chr3","35550870","35554801"
"wdr6",5601,6099,4947,11977,10859,11857,3105,2496,2796,6410,11252,6249,8281,7688,11282,"chr8","26230071","26240488"
"zgc:163143",245,314,293,630,404,513,225,124,96,296,418,356,380,346,410,"chr3","34601856","34613101"
"wdr4",270,234,376,383,432,381,261,86,264,578,1384,426,247,305,396,"chr9","19477198","19489264"
"wwp2",1877,1369,2523,3981,3485,3683,1333,792,711,6479,4972,5097,3405,2949,3484,"chr25","34749223","34804029"
"wdr1",5166,7395,5564,19885,11110,20979,6179,5254,3393,6796,11954,10825,13751,13345,22390,"chr14","164434","187551"
"rgs12b",993,961,1703,3419,2846,3662,681,498,323,2695,4559,2715,2749,959,4763,"chr1","41201586","41287914"
"si:ch211-113g11.6",114,89,133,306,147,210,68,37,90,1269,691,914,136,141,245,"chr16","29414355","29452039"
"stxbp6l",855,863,680,890,595,525,905,519,498,2322,1668,929,1034,1322,1062,"chr20_KZ114968v1_alt|chr20","95061|9828967","114387|9848293"
"olfcw1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr18|chr18_KZ115569v1_alt","32135370|181102","32139894|185628"
"si:dkeyp-120h9.1",10,8,4,0,5,43,4,0,0,62,16,45,219,0,73,"chr19","31743105","31765615"
"ftr67",1992,1510,1991,3370,2584,6020,1640,955,845,3310,3392,2987,2717,2373,5353,"chr2","51065777","51087092"
"atp5meb",668,107,106,255,5692,151,76,79,58,47,6802,108,683,98,90,"chr5_KZ114859v1_alt","165806","169809"
"atp5mea",5444,5867,5266,5408,6073,3621,4299,3640,3651,4139,5854,5881,3820,3020,6248,"chr21","20377890","20381467"
"ftr64",870,996,914,2037,1591,2336,729,407,464,1103,1178,1046,373,1422,1631,"chr4","71974711","71983522"
"zgc:136538",0,0,0,21,4,0,0,0,0,0,18,0,0,0,0,"chr5","61645156","61652253"
"dync2li1",6,0,0,139,0,131,0,72,2,0,5,0,0,0,0,"chr13_KZ115406v1_alt|chr13","98945|10970613","110036|10981704"
"ufd1l",2971,3172,3263,3899,4017,4988,2499,1743,2386,4381,5077,3857,3342,3530,3908,"chr8","4761271","4776395"
"shda",19,5,72,0,13,0,16,0,0,53,62,36,0,4,0,"chr2","52065884","52093505"
"tp63",84,27,138,403,36,68,158,33,45,69,62,130,180,84,426,"chr6_KZ115183v1_alt|chr6","225978|28877306","261868|28914225"
"jmy",137,97,201,11,292,142,46,13,16,568,544,391,480,200,255,"chr21","15116","37192"
"dpcd",269,233,172,24,92,0,241,0,218,301,187,116,0,36,52,"chr1","31654203","31657854"
"fn1b",402,203,367,750,405,653,582,20,111,548,539,571,176,409,1195,"chr1","5504137","5543042"
"fn1a",178,75,80,386,221,321,137,71,31,286,332,263,147,317,140,"chr9","15362301","15424686"
"mks1",245,80,276,389,249,148,414,178,162,302,238,360,734,212,964,"chr5","56090828","56119029"
"ldlrad3",282,453,528,298,620,419,297,89,56,391,513,746,613,87,472,"chr25","37325054","37331356"
"rps8a",37511,30538,38303,107796,74372,110812,46857,32171,30109,35241,49488,39800,90252,88229,88812,"chr2","26498531","26501644"
"rps8b",1333,672,989,2547,2564,2999,743,240,418,4329,4785,4319,2424,1323,5103,"chr8","18193708","18199468"
"ndrg2",859,1026,733,2334,1519,1997,573,348,1049,2752,2132,1722,1469,1880,1535,"chr7","3936326","4036184"
"cpm",64,12,90,108,131,200,104,19,28,167,150,105,479,0,104,"chr4_KZ114857v1_alt","94020","110720"
"ndrg4",32640,32955,38461,61020,53796,59107,38453,18829,33254,98717,98077,67240,38259,35485,65440,"chr25","13332281","13363286"
"car15",5,0,9,132,0,0,0,16,4,40,0,17,180,9,0,"chr10|chr10_KZ115335v1_alt","42026942|175673","42039169|187935"
"sfrp2",28,9,26,0,28,0,2,0,0,34,82,13,0,48,0,"chr1","25489376","25496133"
"psmc1b",4365,4163,4323,11050,8465,11881,3229,3334,2654,7308,8272,7659,8706,7551,11482,"chr20","16721942","16740955"
"bub3",1834,2339,1900,7537,3853,8128,1814,1414,1231,2914,3074,3200,6077,5443,7471,"chr12","49146715","49149800"
"sfrp5",274,171,177,284,222,166,200,216,175,295,425,234,223,227,350,"chr13","39911551","39947335"
"irf2a",176,182,187,216,185,176,176,79,171,457,234,236,148,52,174,"chr1","39865650","39880260"
"zgc:101130",268,188,201,312,351,316,120,32,56,771,596,370,237,279,388,"chr22","1421212","1424482"
"xiap",283,347,391,514,349,672,226,168,103,588,703,496,451,284,467,"chr14_KZ115448v1_alt|chr14","19363|28473173","29520|28483330"
"zgc:66427",884,180,259,268,354,1992,258,390,117,3700,829,763,155,1927,3014,"chr2_KZ115042v1_alt|chr2","51060|37866880","58819|37874647"
"epdl1",124,95,82,128,162,548,157,241,250,240,341,212,435,123,220,"chr7","1045637","1057237"
"snapc3",137,149,116,156,157,120,123,116,122,513,242,113,92,36,122,"chr1","28067795","28089624"
"homer3b",141,16,130,0,101,0,88,76,109,346,309,222,57,101,197,"chr11","13424238","13505654"
"stxbp3",1139,436,229,605,769,721,250,366,130,1472,699,546,372,710,1211,"chr23","1661757","1698431"
"ptpn23a",4739,6455,5894,8078,7953,10792,4599,2121,2161,8087,9795,8335,6603,4138,9644,"chr16","41112346","41131578"
"ube2g2",1062,946,1221,1882,1868,2308,516,488,424,2389,2457,2053,908,1075,2511,"chr6","8598485","8609391"
"snapc5",3023,2361,2491,2629,2858,2341,1621,875,1813,6417,5552,4606,1341,891,1601,"chr18","19487308","19491080"
"stxbp6",44,7,88,216,35,109,0,0,0,93,306,138,522,20,266,"chr17","50798484","50841283"
"bcl11aa",890,1163,1178,2215,1784,2208,807,1076,907,5066,4404,3899,3933,1732,3631,"chr13","25853207","25925224"
"bms1",141,354,293,535,221,270,233,248,272,356,354,220,484,236,308,"chr12|chr12_KZ115386v1_alt","29240119|315985","29271034|346900"
"palm2akap2",408,179,456,278,407,232,423,191,121,701,702,1060,0,245,269,"chr10","4718162","4918620"
"nppb",3,0,0,0,0,0,0,0,0,0,17,8,0,0,0,"chr8","48609520","48610544"
"nppc",119,109,40,296,52,20,226,124,95,118,101,183,288,65,419,"chr22","38614887","38621438"
"nppa",20,0,0,0,3,36,9,0,0,4,13,34,0,0,0,"chr8","48613033","48617665"
"lim2.3",0,0,0,44,0,0,6,0,0,8,8,0,0,0,0,"chr15","19652825","19659578"
"pdyn",1257,413,807,919,575,299,336,581,185,3801,2130,3797,472,204,1470,"chr23","41800052","41801966"
"supt7l",152,65,152,268,252,328,115,29,16,452,333,254,360,196,433,"chr17","40860032","40879108"
"actn2b",24,0,18,34,25,0,48,8,0,53,36,24,0,18,117,"chr17_KZ115518v1_alt|chr17","98616|20122019","119218|20143916"
"snx8a",28,0,0,0,17,28,44,0,8,85,67,28,0,0,0,"chr3","42090418","42120172"
"rrbp1b",208,263,212,434,512,721,176,176,189,909,1713,967,186,432,745,"chr22","25086921","25109867"
"rrbp1a",1662,1313,1491,2397,2050,3222,832,514,635,1910,2172,1943,909,1831,2811,"chr13","33611707","33639050"
"ccnb3",36,30,104,45,101,29,0,17,56,105,52,12,0,0,48,"chr7","22981962","23004700"
"ccnb2",40,13,46,15,66,97,66,12,77,30,72,32,194,0,20,"chr7","30626498","30631116"
"ccnb1",61,52,120,72,92,799,56,0,135,536,56,123,503,0,0,"chr5","54711393","54714749"
"txlng",151,28,172,188,210,235,45,8,0,609,524,408,61,60,215,"chr11","12784959","12802123"
"znf1069",0,0,4,0,0,0,0,0,2,7,7,0,0,0,0,"chr4","57351782","67054802"
"txlna",651,648,900,1808,1149,1648,585,307,260,2271,2057,1616,1167,993,1743,"chr19","29836459","29853390"
"zgc:165520",13,25,10,0,0,83,0,0,0,48,0,22,0,0,0,"chr1","44826320","44835738"
"dpf1",292,502,270,1468,1137,984,272,360,292,668,814,893,547,1107,1891,"chr15","14257232","14375571"
"gcga",16,0,44,0,17,45,4,0,2,6,0,2,0,60,0,"chr22","11617520","11626018"
"borcs7",59,101,59,44,137,45,52,44,43,100,113,71,0,0,81,"chr13","28612313","28615888"
"ubl3b",988,672,1100,2068,2089,3324,714,162,297,3279,3784,3649,2271,1226,4296,"chr14","30855974","30876299"
"borcs5",289,147,326,367,402,487,193,136,181,589,521,438,557,323,438,"chr25","17920852","17924763"
"borcs8",100,94,105,41,36,88,112,0,30,200,78,96,0,0,130,"chr22","18166660","18175060"
"zgc:77614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr8_KZ115273v1_alt|chr8","23897|34434385","206168|35000294"
"bsnd",0,0,0,16,0,0,0,0,0,9,0,29,0,0,0,"chr20","7243879","7251773"
"prkcdb",41,20,36,45,35,40,26,0,18,91,75,112,54,61,26,"chr11|chr11_KZ115351v1_alt","18345066|260247","18384473|299654"
"prkcda",1723,1286,2122,2995,3926,1337,1313,635,1667,6364,6705,4259,1167,946,1638,"chr6","40523370","40544204"
"si:ch73-42k18.1",2,0,4,0,2,0,15,8,9,15,0,6,0,0,38,"chr5","10232188","10239079"
"cep68",106,156,184,128,535,128,64,100,80,523,443,208,0,0,227,"chr13","24421515","24429095"
"cep63",127,485,350,305,361,468,347,96,124,340,437,327,202,567,582,"chr6","27896657","27925470"
"eif4ba",1259,1242,1716,3429,2264,5460,1019,778,770,3680,3377,2977,2049,2214,4083,"chr23","10396888","10449456"
"npepl1",2030,1852,2200,5981,3909,9618,2010,1454,1235,4378,5511,5490,6305,4102,8034,"chr6","49742261","49760400"
"tada1",1086,1046,2000,2889,1994,3993,674,638,637,1627,2224,1556,3239,7113,4955,"chr2","104983","109346"
"cherp",3196,3159,3183,9252,5197,12334,2497,2027,1850,4042,4821,4550,9816,6020,9553,"chr22","4962370","4989910"
"diras1b",8,20,44,19,24,0,0,0,0,177,120,55,0,0,0,"chr2","37059304","37059966"
"sult3st2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr22_KZ115635v1_alt|chr22","18431|15336752","23844|15342165"
"sult3st3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr22","15315655","15318280"
"pdcd10a",524,475,1401,1988,1362,2549,1037,331,593,538,1608,2278,760,481,1466,"chr18","5087622","5111449"
"sult3st4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr22_KZ115635v1_alt|chr22","12990|15331311","18071|15336392"
